"","child","parent","length"
"422","DOID:10377","DOID:7",7
"423","DOID:10376","DOID:7",6
"424","DOID:10375","DOID:7",7
"425","DOID:10371","DOID:0050117",4
"426","DOID:10378","DOID:7",7
"427","DOID:5637","DOID:14566",9
"428","DOID:5636","DOID:14566",9
"429","DOID:5635","DOID:14566",7
"430","DOID:5634","DOID:14566",8
"431","DOID:7698","DOID:14566",7
"432","DOID:7697","DOID:14566",7
"433","DOID:7696","DOID:14566",6
"434","DOID:7694","DOID:14566",8
"435","DOID:7693","DOID:7",7
"436","DOID:5632","DOID:14566",8
"437","DOID:14272","DOID:7",7
"438","DOID:14270","DOID:7",7
"439","DOID:14271","DOID:7",7
"440","DOID:14276","DOID:7",7
"441","DOID:14275","DOID:7",5
"442","DOID:13050","DOID:7",6
"443","DOID:6610","DOID:14566",7
"444","DOID:6344","DOID:14566",9
"445","DOID:6345","DOID:14566",8
"446","DOID:13976","DOID:7",4
"447","DOID:13972","DOID:14566",7
"448","DOID:8622","DOID:0050117",3
"449","DOID:10952","DOID:7",4
"450","DOID:1343","DOID:7",4
"451","DOID:1342","DOID:7",6
"452","DOID:10955","DOID:0050117",4
"453","DOID:1340","DOID:7",6
"454","DOID:1699","DOID:630",5
"455","DOID:7967","DOID:14566",9
"456","DOID:7961","DOID:14566",9
"457","DOID:7960","DOID:14566",8
"458","DOID:7962","DOID:7",6
"459","DOID:7969","DOID:14566",9
"460","DOID:7968","DOID:14566",9
"461","DOID:11028","DOID:7",7
"462","DOID:11029","DOID:7",8
"463","DOID:9965","DOID:0050117",5
"464","DOID:9969","DOID:0014667",3
"465","DOID:732","DOID:7",3
"466","DOID:0050669","DOID:7",6
"467","DOID:0050668","DOID:150",5
"468","DOID:0050663","DOID:7",8
"469","DOID:0050662","DOID:7",9
"470","DOID:0050661","DOID:7",9
"471","DOID:0050660","DOID:630",5
"472","DOID:0050667","DOID:150",5
"473","DOID:0050666","DOID:150",5
"474","DOID:0050665","DOID:150",5
"475","DOID:0050664","DOID:7",8
"476","DOID:1529","DOID:7",4
